sample_uid	sample_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth	A4	A3	A4ab	A4aa	891985_A	891987_A	A13	A4t	59036_A	892191_A	37988_A	285996_A	137171_A	38160_A	49905_A	37990_A	892192_A	59280_A	56001_A	57806_A	58699_A	892193_A	A3s	58696_A	29370_A	892179_A	892190_A	B1	B19	B5af	B1x	B19e	B1z	B19c	B19d	B1al	B1aa	B19f	B5ag	B1t	B40a	B1ad	B14b	B1af	B1ac	B1ak	B1aj	29476_B	B1ae	B1ah	891947_B	B19g	B1ab	90035_B	B1ag	B1ai	89135_B	B19h	B5ah	892009_B	892161_B	891973_B	892048_B	892037_B	892036_B	B14d	891965_B	891974_B	892002_B	891963_B	892047_B	30901_B	892123_B	891964_B	892045_B	B1o	891968_B	892124_B	892010_B	B1g	892038_B	30291_B	892011_B	30269_B	892194_B	892046_B	891969_B	29217_B	29424_B	697897_B	891970_B	89161_B	323572_B	892012_B	89338_B	892039_B	892013_B	891951_B	89166_B	25829_B	892125_B	891975_B	29806_B	89425_B	30583_B	89201_B	892084_B	29625_B	891950_B	891988_B	892098_B	892016_B	892195_B	892015_B	891971_B	B1y	892126_B	891989_B	892040_B	891952_B	89404_B	892066_B	891948_B	892032_B	892017_B	29481_B	29322_B	892014_B	892130_B	892003_B	892065_B	30064_B	891990_B	892128_B	892049_B	892022_B	89984_B	29216_B	892129_B	30942_B	892064_B	892063_B	892067_B	892085_B	30365_B	892127_B	892131_B	B1s	892162_B	89987_B	892023_B	892004_B	89854_B	892041_B	892099_B	891949_B	29789_B	891992_B	892163_B	892132_B	892105_B	892196_B	892024_B	89470_B	892156_B	891980_B	892069_B	892005_B	53344_B	892149_B	892093_B	892025_B	892006_B	891954_B	892197_B	892106_B	892026_B	B5ai	892027_B	892159_B	89800_B	892028_B	892020_B	B1k	30135_B	29338_B	892166_B	892092_B	892031_B	30165_B	892030_B	892107_B	30125_B	892172_B	892068_B	892171_B	892042_B	892029_B	B5	892109_B	892108_B	29847_B	29739_B	30073_B	892110_B	892155_B	891972_B	29425_B	892160_B	892158_B	892111_B	892157_B	30826_B	31011_B	B2a	892033_B	892058_B	89263_B	892115_B	50427_B	363091_B	892102_B	892180_B	368924_B	30556_B	53343_B	40229_B	892117_B	363099_B	892181_B	892096_B	25424_B	892095_B	892182_B	892116_B	29621_B	892183_B	892043_B	43481_B	892118_B	50408_B	892133_B	892173_B	892151_B	892044_B	38312_B	892184_B	892152_B	892120_B	892119_B	37592_B	892186_B	892185_B	892164_B	892187_B	891955_B	892189_B	892188_B	367441_B	C3	C7	C7d	C12c	C3fe	C12b	C40g	C3b	C3fg	C3a	C21	C3an	C12e	C47	C3fc	C1	C44	C54a	C3fd	C46	C16a	C3bb	C7h	C3s	C54b	365816_C	C7g	891953_C	C3ag	C42.2	C7b	C7c	3602_C	44082_C	40923_C	891933_C	891999_C	71453_C	891994_C	363076_C	892007_C	3601_C	365550_C	20948_C	C1c	41217_C	892000_C	364964_C	891932_C	367639_C	891998_C	25590_C	892019_C	891937_C	891995_C	891936_C	369813_C	C6a	21810_C	C21ae	C54c	C54d	891939_C	891934_C	C1b	4559_C	891942_C	C3de	891996_C	365583_C	C45a	892097_C	38271_C	371291_C	48053_C	44724_C	892113_C	892072_C	891935_C	892122_C	44723_C	C50f	39534_C	C1al	891940_C	892034_C	892073_C	892135_C	40128_C	892035_C	892074_C	891956_C	365596_C	892087_C	365002_C	892144_C	364920_C	24498_C	C3ey	892134_C	892075_C	365558_C	892078_C	892077_C	C3ab	892076_C	114925_C	891979_C	23471_C	892165_C	41315_C	892059_C	C3df	365242_C	C1bh	892100_C	363073_C	C72k	892050_C	892150_C	892079_C	3568_C	1628_C	892051_C	369708_C	892080_C	45976_C	892153_C	29186_C	342346_C	892176_C	892088_C	892052_C	C3bt	C1w	892089_C	364917_C	892081_C	C3dk	363122_C	892053_C	86219_C	892054_C	834_C	C3t	892103_C	72972_C	892055_C	892177_C	369491_C	891938_C	439135_C	263933_C	365533_C	44732_C	892091_C	892178_C	365808_C	71372_C	52147_C	892090_C	892170_C	44728_C	758_C	892082_C	371130_C	72278_C	57244_C	891997_C	892104_C	C3bx	892060_C	C3bv	892112_C	369691_C	C3i	892062_C	892056_C	892136_C	892057_C	364974_C	891977_C	40132_C	C1bc	892174_C	364913_C	26573_C	21077_C	367706_C	892137_C	C1br	364957_C	17032_C	27927_C	892175_C	C3fb	891941_C	464904_C	849_C	101141_C	40133_C	C3bk	4134_C	83542_C	124598_C	892138_C	307_C	21069_C	892154_C	365328_C	23458_C	892121_C	5429_C	892147_C	40129_C	892139_C	44750_C	17703_C	892083_C	223_C	892140_C	892061_C	891981_C	75_C	891982_C	892141_C	891983_C	55799_C	40126_C	892142_C	40125_C	891984_C	C15	9927_C	892143_C	33386_C	892086_C	891976_C	44830_C	892094_C	2553_C	2037_C	892167_C	891978_C	124648_C	C3ed	2555_C	892169_C	892168_C	892145_C	892146_C	892148_C	C3.12	40135_C	D1	D4	D4c	D1c	D2	D1k	D1n	D6	D1r	D17d	D4j	D4f	1754_D	D3b	1738_D	22383_D	D17e	D5	4932_D	2615_D	D17j	1742_D	D2.2	D17c	43420_D	D5m	22585_D	12086_D	14041_D	D17l	10201_D	D4i	19418_D	D17k	18844_D	357298_D	10527_D	892018_D	14522_D	G3b	892101_G
106274	WP_Ssid_57_2019	1.3204120434745594	1.0117767246516642	0.015323930872045177	1.0117767246516642	0.015323930872045177	0.0	0.0	0.0	0.0	1.0	0.00017026589857827975	0	0	0.016345526263514855	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Siderastreidae 	Siderastrea	siderea	18.30025300	64.71693500	2019.07.29	9.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0004256647464456994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9534606543886035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025170975339822356	0	0	0	0	0	0	0	0	0	0	0	0.009620023269672805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00672550299384205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004597179261613554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106278	WP_Ssid_26_2019	1.7806916898869039	1.0178659236190788	0.01942304540239305	1.0178659236190788	0.01942304540239305	0.0	0.0	0.0	0.0	1.0	0.000491722668415014	0	0	0.015653171611211276	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Siderastreidae 	Siderastrea	siderea	18.30025300	64.71693500	2017.07.30	9.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000491722668415014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9523848549418128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02360268808392067	0	0	0	0	0	0	0	0	0	0	0	0.010572037370922799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005081134240288478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007867562694640224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106264	WP_Ssid_46_2019	1.2928957501678031	1.0114106051506695	0.016003108771681915	1.0114106051506695	0.016003108771681915	0.0	0.0	0.0	0.0	1.0	0.0002472886565160561	0	0	0.024552230896951285	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Siderastreidae 	Siderastrea	siderea	18.30025300	64.71693500	2019.07.29	9.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00038859646023951675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.950754230402374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.024163634436711767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00897304553643975	0	0	0	0.008725756879923694	0	0	0	0	0	0	0.00685342848058784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00014130780372346064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106148	ET_Ssid_41_2017	1.493377001455604	1.014774381368268	0.01957787481804949	1.014774381368268	0.01957787481804949	0.0	0.0	0.0	0.0	1.0	0.0006550218340611354	0	0	0.016157205240174673	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Siderastreidae 	Siderastrea	siderea	18.30018900	64.71677400	2017.07.31	9.5	0.000727802037845706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002183406113537118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9449781659388646	0.0086608442503639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02299854439592431	0	0	0	0	0	0	0	0	0	0	0	0.0057496360989810775	0	0	0	0	0	0	0	0	0.006404657933042212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004002911208151383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004294032023289665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106183	WP_Ssid_76_2017	1.372249958852252	1.0078455039227519	0.01826960004389093	1.0078455039227519	0.01826960004389093	0.0	0.0	0.0	0.0	1.0	0.00043890931036374606	0	0	0.02776101388050694	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Siderastreidae 	Siderastrea	siderea	18.30025300	64.71693500	2017.08.17	8.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0014264552586821747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9447522905579635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.019421736983595766	0	0	0	0	0	0	0	0	0	0	0	0.011631096724639271	0	0	0	0	0	0	0	0	0.005157184396774017	0	0	0	0.004882866077796675	0	0	0	0	0	0	0	0	0	0	0	0.006638503319251659	0.006089866681296977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106233	ET_Ssid_41_2019	1.3685441990526737	1.0082177709296354	0.01894652742110369	1.0082177709296354	0.01894652742110369	0.0	0.0	0.0	0.0	1.0	0.0006277463904582549	0	0.0006277463904582549	0.018661188152713577	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Siderastreidae 	Siderastrea	siderea	18.30018900	64.71677400	2019.07.24	9.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0039376819037835985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000342407122068139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00028533926839011586	0	0	0	0	0	0	0	0	0	0	0.940706500028534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02271300576385322	0	0	0	0	0	0	0	0	0	0	0	0.004907835416309993	0	0	0	0	0	0	0	0	0.005136106831022085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009302060149517776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004051817611139645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004565428294241854	0	0	0	0	0	0	0	0	0	0	0	0	0.004051817611139645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106191	ET_Ssid_41_2018	1.64610321406064	1.0130242980183461	0.020376724319025277	1.0130242980183461	0.020376724319025277	0.0	0.0	0.0	0.0	1.0	0.0006302079686296478	0	0	0.020446747426650796	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Siderastreidae 	Siderastrea	siderea	18.30018900	64.71677400	2018.08.13	9.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001330439044884812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9383796652895455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.022617463763041804	0	0	0	0	0	0	0	0	0	0	0	0.004831594426160633	0	0	0	0	0	0	0	0	0.005391779287164764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006582172116798544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010643512359078495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00567187171766683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004551501995658567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106257	WP_Ssid_38_2019	1.4212454212454213	1.0122972265829409	0.019165358451072735	1.0122972265829409	0.019165358451072735	0.0	0.0	0.0	0.0	1.0	0.0004578754578754579	0	0	0.04218995290423862	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Siderastreidae 	Siderastrea	siderea	18.30025300	64.71693500	2019.07.29	9.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0013082155939298796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9307953950811093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025706436420722133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008895866038723181	0	0	0	0.012558869701726845	0	0	0	0	0	0	0.010400313971742544	0	0	0	0	0	0	0	0	0	0	0	0	0.010334903192046049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
